/* DATA DESCRIPTION:
Citation:	Doose-Rolinski, Heidi; Rogalla, U; Scheeder, Georg; Lückge, Andreas; von Rad, Ulrich (2001): (Figure 3) Oxygen isotopes and reconstructed salinity records of sediment core SO90-56KA from the northeastern Arabian Sea during the late Holocene. PANGAEA, https://doi.org/10.1594/PANGAEA.713643, 
	In supplement to: Doose-Rolinski, H et al. (2001): High resolution temperature and evaporation changes during the late Holocene in the northeastern Arabian Sea. Paleoceanography, 16(4), 358-367, https://doi.org/10.1029/2000PA000511
Coverage:	LATITUDE: 24.833000 * LONGITUDE: 65.916000
	DATE/TIME START: 1993-09-10T00:00:00 * DATE/TIME END: 1993-09-10T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.265 m * MAXIMUM DEPTH, sediment/rock: 5.980 m
Event(s):	SO90_56KA * LATITUDE: 24.833000 * LONGITUDE: 65.916000 * DATE/TIME: 1993-09-10T00:00:00 * ELEVATION: -695.0 m * Recovery: 6.8 m * LOCATION: Arabian Sea * CAMPAIGN: SO90 (PAKOMIN) (URI: https://doi.org/10.2312/cr_so90) * BASIS: Sonne (URI: https://en.wikipedia.org/wiki/RV_Sonne) * METHOD/DEVICE: Kasten corer (KAL)
Comment:	Age scale is in calendar years from varve counting (see von Rad et al., 1999, datasets: doi:10.1594/PANGAEA.735718)
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Globigerinoides ruber white, δ18O [‰ PDB] (G. ruber w δ18O) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
	δ18O [‰] (δ18O) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * COMMENT: SST-corrected
	Sea surface salinity (SSS) * PI: Doose-Rolinski, Heidi (hdoro@freenet.de) * METHOD/DEVICE: Calculated * COMMENT: from d18O_seawater/salinity relationship, Rostek et al., 1993, doi:10.1038/364319a0
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	357 data points
*/
Depth [m]	Age [ka BP]	G. ruber w δ18O [‰ PDB]	δ18O [‰]	SSS
2.030	1.5934	-1.90	0.22	37.3
2.065	1.6190	-2.03	0.07	36.8
2.120	1.6591	-1.82	0.28	37.5
2.155	1.6847	-1.96	0.12	36.9
2.185	1.7066	-1.88	0.36	37.8
2.220	1.7321	-1.80	0.32	37.6
2.260	1.7628	-1.81	0.35	37.7
2.290	1.7890	-1.89	0.17	37.1
2.325	1.8197	-1.94	0.19	37.2
2.350	1.8416	-2.01	0.17	37.1
2.385	1.8723	-2.00	0.09	36.8
2.420	1.9029	-2.14	-0.03	36.4
2.450	1.9292	-2.15	-0.07	36.3
2.525	1.9949	-1.94	0.18	37.1
2.565	2.0299	-2.07	0.01	36.6
2.600	2.0606	-1.90	0.20	37.2
2.625	2.0825	-2.04	0.04	36.6
2.660	2.1132	-2.01	0.15	37.0
2.725	2.1701	-1.86	0.30	37.6
2.830	2.2651	-1.84	0.29	37.5
2.865	2.2967	-2.10	0.00	36.5
2.925	2.3508	-2.15	-0.07	36.3
2.970	2.3914	-1.95	0.13	37.0
3.030	2.4455	-2.00	0.06	36.7
3.125	2.5312	-1.90	0.14	37.0
3.225	2.6214	-1.87	0.19	37.2
3.320	2.6959	-1.76	0.38	37.9
3.425	2.7709	-1.65	0.43	38.0
3.530	2.8459	-1.75	0.31	37.6
3.625	2.9137	-1.87	0.06	36.7
3.725	2.9851	-1.78	0.28	37.5
3.825	3.0629	-1.87	0.13	36.9
3.925	3.1428	-1.90	0.28	37.5
4.035	3.2306	-1.94	0.26	37.4
4.120	3.2985	-1.92	0.24	37.4
4.220	3.3783	-1.92	0.09	36.8
4.320	3.4582	-1.66	0.20	37.2
4.425	3.5420	-1.48	0.27	37.4
4.530	3.6137	-1.91	0.02	36.6
4.640	3.6823	-1.81	0.17	37.1
4.725	3.7354	-2.07	-0.19	35.8
4.850	3.8358	-2.06	-0.04	36.4
4.925	3.8993	-1.91	-0.05	36.3
5.025	3.9841	-1.92	-0.06	36.3
5.055	4.0096	-1.82	0.04	36.6
5.125	4.0689	-1.87	0.10	36.9
5.170	4.1070	-1.97	0.10	36.9
5.195	4.1282	-2.04	0.06	36.7
5.210	4.1409	-2.17	-0.10	36.1
5.270	4.1918	-2.02	0.00	36.5
5.300	4.2180	-2.00	0.02	36.6
5.325	4.2431	-2.01	0.01	36.5
5.390	4.3083	-1.77	0.21	37.2
5.425	4.3435	-1.92	0.02	36.6
5.450	4.3686	-2.04	-0.13	36.0
5.530	4.4488	-1.91	-0.05	36.3
5.560	4.4790	-1.96	-0.10	36.1
5.590	4.5091	-1.92	-0.06	36.3
5.630	4.5492	-1.92	0.05	36.7
5.670	4.5894	-1.75	0.27	37.5
5.710	4.6295	-1.90	0.14	37.0
5.740	4.6596	-1.88	0.20	37.2
5.765	4.6847	-1.90	0.20	37.2
5.790	4.7098	-1.83	0.27	37.5
5.820	4.7399	-1.84	0.18	37.1
5.855	4.7744	-1.85	0.21	37.3
5.900	4.8136	-2.02	0.12	36.9
5.920	4.8311	-2.07	0.03	36.6
5.950	4.8573	-2.01	0.04	36.6
5.980	4.8835	-2.13	-0.21	35.8
