/* DATA DESCRIPTION:
Citation:	Wirth, Stefanie B; Glur, Lukas; Gilli, Adrian; Anselmetti, Flavio S (2013): Holocene flood activity data for the Northern and Southern Central Alps reconstructed from lake sediments. PANGAEA, https://doi.org/10.1594/PANGAEA.823415, 
	In supplement to: Wirth, SB et al. (2013): Holocene flood frequency across the Central Alps - solar forcing and evidence for variations in North Atlantic atmospheric circulation. Quaternary Science Reviews, 80, 112-128, https://doi.org/10.1016/j.quascirev.2013.09.002
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Northern Alps (optional Event Labels N1 to N10)
	Flood activity [%] (Flood act) * PI: Wirth, Stefanie B (https://orcid.org/0000-0002-1276-8506, stefanie.wirth@alumni.ethz.ch) * METHOD/DEVICE: Lowpass filtered, 100a * COMMENT: Southern Alps (optional Event Labels S1 to S5)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	20122 data points
*/
Age [ka BP]	Flood act [%] (Northern Alps (optional Event...)	Flood act [%] (Southern Alps (optional Event...)
0.246	80.41	61.44
0.247	79.43	62.19
0.248	78.46	62.97
0.249	77.50	63.76
0.250	76.54	64.57
0.251	75.59	65.40
0.252	74.65	66.24
0.253	73.73	67.09
0.254	72.81	67.96
0.255	71.91	68.83
0.256	71.03	69.71
0.257	70.17	70.60
0.258	69.35	71.49
0.259	68.58	72.38
0.260	67.85	73.26
0.261	67.18	74.15
0.262	66.57	75.02
0.263	66.03	75.89
0.264	65.55	76.75
0.265	65.15	77.59
0.266	64.82	78.41
0.267	64.57	79.22
0.268	64.38	79.99
0.269	64.27	80.75
0.270	64.22	81.47
0.271	64.23	82.17
0.272	64.31	82.82
0.273	64.45	83.44
0.274	64.64	84.01
0.275	64.89	84.53
0.276	65.18	85.01
0.277	65.52	85.43
0.278	65.90	85.80
0.279	66.31	86.11
0.280	66.75	86.36
0.281	67.22	86.56
0.282	67.69	86.70
0.283	68.18	86.78
0.284	68.67	86.81
0.285	69.17	86.77
0.286	69.68	86.69
0.287	70.19	86.54
0.288	70.71	86.35
0.289	71.23	86.10
0.290	71.76	85.80
0.291	72.29	85.46
0.292	72.81	85.08
0.293	73.33	84.66
0.294	73.84	84.21
0.295	74.35	83.73
0.296	74.84	83.24
0.297	75.33	82.72
0.298	75.82	82.19
0.299	76.29	81.64
0.300	76.76	81.09
0.301	77.21	80.52
0.302	77.66	79.94
0.303	78.10	79.35
0.304	78.54	78.76
0.305	78.97	78.15
0.306	79.41	77.54
0.307	79.85	76.91
0.308	80.29	76.28
0.309	80.75	75.65
0.310	81.22	75.01
0.311	81.70	74.36
0.312	82.21	73.72
0.313	82.73	73.08
0.314	83.27	72.45
0.315	83.84	71.82
0.316	84.43	71.20
0.317	85.04	70.59
0.318	85.67	70.00
0.319	86.32	69.43
0.320	86.98	68.89
0.321	87.65	68.37
0.322	88.31	67.88
0.323	88.97	67.43
0.324	89.61	67.02
0.325	90.24	66.65
0.326	90.86	66.34
0.327	91.46	66.07
0.328	92.04	65.85
0.329	92.60	65.69
0.330	93.15	65.58
0.331	93.66	65.52
0.332	94.15	65.53
0.333	94.60	65.58
0.334	95.00	65.70
0.335	95.35	65.86
0.336	95.66	66.09
0.337	95.92	66.36
0.338	96.13	66.69
0.339	96.30	67.06
0.340	96.41	67.48
0.341	96.47	67.95
0.342	96.46	68.45
0.343	96.39	68.99
0.344	96.25	69.57
0.345	96.04	70.18
0.346	95.75	70.81
0.347	95.37	71.48
0.348	94.92	72.17
0.349	94.40	72.87
0.350	93.80	73.60
0.351	93.14	74.35
0.352	92.41	75.10
0.353	91.61	75.86
0.354	90.75	76.63
0.355	89.84	77.39
0.356	88.87	78.15
0.357	87.86	78.89
0.358	86.80	79.62
0.359	85.71	80.32
0.360	84.60	80.99
0.361	83.46	81.62
0.362	82.30	82.21
0.363	81.12	82.76
0.364	79.94	83.27
0.365	78.75	83.72
0.366	77.56	84.12
0.367	76.37	84.47
0.368	75.18	84.76
0.369	74.00	85.00
0.370	72.81	85.19
0.371	71.63	85.32
0.372	70.46	85.41
0.373	69.31	85.46
0.374	68.16	85.46
0.375	67.04	85.44
0.376	65.93	85.37
0.377	64.84	85.28
0.378	63.77	85.15
0.379	62.72	85.00
0.380	61.70	84.83
0.381	60.70	84.63
0.382	59.72	84.41
0.383	58.77	84.17
0.384	57.84	83.91
0.385	56.95	83.63
0.386	56.09	83.34
0.387	55.26	83.04
0.388	54.46	82.72
0.389	53.71	82.40
0.390	52.99	82.06
0.391	52.32	81.72
0.392	51.68	81.37
0.393	51.10	81.02
0.394	50.55	80.67
0.395	50.04	80.33
0.396	49.57	79.99
0.397	49.14	79.67
0.398	48.75	79.36
0.399	48.39	79.06
0.400	48.07	78.78
0.401	47.79	78.52
0.402	47.55	78.29
0.403	47.35	78.07
0.404	47.18	77.87
0.405	47.05	77.69
0.406	46.95	77.53
0.407	46.88	77.40
0.408	46.84	77.28
0.409	46.82	77.17
0.410	46.82	77.08
0.411	46.84	77.00
0.412	46.88	76.92
0.413	46.93	76.84
0.414	46.99	76.76
0.415	47.05	76.66
0.416	47.13	76.55
0.417	47.22	76.42
0.418	47.33	76.26
0.419	47.46	76.08
0.420	47.61	75.86
0.421	47.78	75.62
0.422	47.97	75.34
0.423	48.19	75.03
0.424	48.42	74.69
0.425	48.68	74.31
0.426	48.95	73.90
0.427	49.25	73.45
0.428	49.55	72.97
0.429	49.88	72.46
0.430	50.21	71.91
0.431	50.55	71.33
0.432	50.89	70.72
0.433	51.23	70.07
0.434	51.57	69.40
0.435	51.89	68.70
0.436	52.21	67.97
0.437	52.51	67.23
0.438	52.79	66.47
0.439	53.06	65.69
0.440	53.30	64.90
0.441	53.51	64.11
0.442	53.71	63.30
0.443	53.88	62.50
0.444	54.02	61.69
0.445	54.13	60.87
0.446	54.22	60.06
0.447	54.27	59.24
0.448	54.28	58.42
0.449	54.26	57.61
0.450	54.19	56.80
0.451	54.07	56.00
0.452	53.91	55.21
0.453	53.69	54.43
0.454	53.42	53.66
0.455	53.10	52.91
0.456	52.74	52.18
0.457	52.33	51.46
0.458	51.88	50.75
0.459	51.40	50.06
0.460	50.90	49.39
0.461	50.38	48.73
0.462	49.86	48.08
0.463	49.34	47.44
0.464	48.83	46.82
0.465	48.34	46.20
0.466	47.87	45.60
0.467	47.43	45.00
0.468	47.03	44.41
0.469	46.67	43.83
0.470	46.35	43.27
0.471	46.08	42.72
0.472	45.86	42.19
0.473	45.68	41.67
0.474	45.56	41.17
0.475	45.48	40.69
0.476	45.45	40.22
0.477	45.46	39.77
0.478	45.52	39.34
0.479	45.61	38.93
0.480	45.74	38.53
0.481	45.89	38.16
0.482	46.07	37.80
0.483	46.26	37.47
0.484	46.47	37.15
0.485	46.69	36.85
0.486	46.92	36.58
0.487	47.17	36.32
0.488	47.42	36.09
0.489	47.68	35.87
0.490	47.96	35.68
0.491	48.25	35.51
0.492	48.55	35.35
0.493	48.86	35.22
0.494	49.17	35.10
0.495	49.49	35.00
0.496	49.80	34.91
0.497	50.11	34.83
0.498	50.41	34.76
0.499	50.70	34.71
0.500	50.98	34.66
0.501	51.26	34.63
0.502	51.52	34.59
0.503	51.78	34.57
0.504	52.03	34.54
0.505	52.27	34.52
0.506	52.50	34.51
0.507	52.72	34.49
0.508	52.93	34.47
0.509	53.14	34.45
0.510	53.35	34.43
0.511	53.57	34.42
0.512	53.79	34.40
0.513	54.02	34.38
0.514	54.26	34.36
0.515	54.51	34.34
0.516	54.77	34.32
0.517	55.05	34.30
0.518	55.33	34.27
0.519	55.62	34.23
0.520	55.91	34.20
0.521	56.20	34.15
0.522	56.49	34.10
0.523	56.78	34.04
0.524	57.06	33.97
0.525	57.32	33.89
0.526	57.56	33.81
0.527	57.78	33.72
0.528	57.98	33.62
0.529	58.15	33.51
0.530	58.29	33.39
0.531	58.39	33.26
0.532	58.46	33.12
0.533	58.49	32.97
0.534	58.48	32.82
0.535	58.42	32.65
0.536	58.33	32.49
0.537	58.21	32.32
0.538	58.06	32.15
0.539	57.90	31.98
0.540	57.71	31.81
0.541	57.52	31.64
0.542	57.33	31.48
0.543	57.13	31.32
0.544	56.93	31.17
0.545	56.74	31.02
0.546	56.56	30.89
0.547	56.40	30.77
0.548	56.26	30.67
0.549	56.14	30.58
0.550	56.05	30.50
0.551	55.98	30.45
0.552	55.94	30.40
0.553	55.93	30.38
0.554	55.95	30.37
0.555	55.99	30.39
0.556	56.07	30.42
0.557	56.17	30.47
0.558	56.30	30.53
0.559	56.45	30.62
0.560	56.62	30.72
0.561	56.81	30.84
0.562	57.01	30.99
0.563	57.22	31.15
0.564	57.43	31.33
0.565	57.66	31.54
0.566	57.88	31.76
0.567	58.10	32.01
0.568	58.31	32.29
0.569	58.52	32.58
0.570	58.71	32.91
0.571	58.90	33.25
0.572	59.07	33.63
0.573	59.23	34.03
0.574	59.38	34.45
0.575	59.52	34.90
0.576	59.65	35.38
0.577	59.77	35.88
0.578	59.89	36.41
0.579	60.00	36.96
0.580	60.11	37.54
0.581	60.22	38.13
0.582	60.33	38.75
0.583	60.45	39.39
0.584	60.58	40.04
0.585	60.73	40.71
0.586	60.89	41.40
0.587	61.07	42.10
0.588	61.27	42.81
0.589	61.50	43.53
0.590	61.75	44.25
0.591	62.04	44.98
0.592	62.35	45.70
0.593	62.70	46.43
0.594	63.09	47.14
0.595	63.51	47.85
0.596	63.96	48.54
0.597	64.45	49.22
0.598	64.97	49.87
0.599	65.51	50.51
0.600	66.08	51.11
0.601	66.67	51.69
0.602	67.28	52.24
0.603	67.92	52.75
0.604	68.57	53.22
0.605	69.25	53.66
0.606	69.95	54.05
0.607	70.66	54.40
0.608	71.40	54.70
0.609	72.15	54.96
0.610	72.92	55.16
0.611	73.71	55.31
0.612	74.52	55.41
0.613	75.34	55.46
0.614	76.18	55.44
0.615	77.03	55.37
0.616	77.91	55.25
0.617	78.79	55.07
0.618	79.69	54.83
0.619	80.59	54.55
0.620	81.48	54.22
0.621	82.37	53.84
0.622	83.24	53.41
0.623	84.09	52.96
0.624	84.91	52.46
0.625	85.70	51.94
0.626	86.47	51.40
0.627	87.20	50.84
0.628	87.90	50.26
0.629	88.58	49.68
0.630	89.25	49.09
0.631	89.89	48.49
0.632	90.53	47.90
0.633	91.14	47.30
0.634	91.75	46.72
0.635	92.34	46.13
0.636	92.91	45.55
0.637	93.48	44.98
0.638	94.03	44.42
0.639	94.57	43.87
0.640	95.10	43.34
0.641	95.62	42.81
0.642	96.13	42.30
0.643	96.63	41.81
0.644	97.11	41.33
0.645	97.57	40.87
0.646	98.00	40.44
0.647	98.40	40.02
0.648	98.76	39.63
0.649	99.09	39.26
0.650	99.38	38.92
0.651	99.62	38.60
0.652	99.80	38.30
0.653	99.93	38.02
0.654	100.00	37.77
0.655	100.00	37.54
0.656	99.91	37.34
0.657	99.74	37.16
0.658	99.48	37.00
0.659	99.12	36.87
0.660	98.67	36.76
0.661	98.12	36.66
0.662	97.48	36.59
0.663	96.74	36.53
0.664	95.92	36.49
0.665	95.01	36.46
0.666	94.02	36.44
0.667	92.96	36.44
0.668	91.84	36.44
0.669	90.65	36.45
0.670	89.41	36.48
0.671	88.13	36.51
0.672	86.82	36.54
0.673	85.48	36.59
0.674	84.14	36.64
0.675	82.78	36.69
0.676	81.42	36.74
0.677	80.06	36.80
0.678	78.70	36.86
0.679	77.34	36.92
0.680	76.00	36.97
0.681	74.65	37.03
0.682	73.32	37.09
0.683	72.00	37.15
0.684	70.70	37.21
0.685	69.41	37.26
0.686	68.14	37.31
0.687	66.91	37.35
0.688	65.70	37.38
0.689	64.53	37.42
0.690	63.41	37.44
0.691	62.32	37.47
0.692	61.29	37.49
0.693	60.31	37.51
0.694	59.38	37.53
0.695	58.50	37.55
0.696	57.67	37.57
0.697	56.90	37.59
0.698	56.19	37.61
0.699	55.52	37.63
0.700	54.91	37.65
0.701	54.34	37.67
0.702	53.81	37.68
0.703	53.32	37.70
0.704	52.86	37.71
0.705	52.42	37.72
0.706	52.01	37.73
0.707	51.61	37.73
0.708	51.22	37.73
0.709	50.83	37.72
0.710	50.44	37.71
0.711	50.05	37.70
0.712	49.64	37.67
0.713	49.22	37.65
0.714	48.77	37.61
0.715	48.30	37.58
0.716	47.81	37.54
0.717	47.28	37.50
0.718	46.73	37.46
0.719	46.16	37.42
0.720	45.58	37.37
0.721	44.99	37.33
0.722	44.40	37.30
0.723	43.82	37.26
0.724	43.24	37.22
0.725	42.68	37.19
0.726	42.14	37.16
0.727	41.62	37.13
0.728	41.13	37.10
0.729	40.65	37.07
0.730	40.21	37.04
0.731	39.79	37.01
0.732	39.40	36.99
0.733	39.06	36.96
0.734	38.74	36.94
0.735	38.48	36.91
0.736	38.25	36.90
0.737	38.08	36.88
0.738	37.96	36.88
0.739	37.88	36.88
0.740	37.86	36.89
0.741	37.88	36.91
0.742	37.96	36.94
0.743	38.08	36.98
0.744	38.25	37.03
0.745	38.46	37.10
0.746	38.72	37.18
0.747	39.04	37.26
0.748	39.41	37.36
0.749	39.85	37.47
0.750	40.35	37.58
0.751	40.92	37.71
0.752	41.56	37.84
0.753	42.27	37.97
0.754	43.05	38.11
0.755	43.91	38.25
0.756	44.84	38.40
0.757	45.83	38.54
0.758	46.90	38.68
0.759	48.03	38.82
0.760	49.21	38.96
0.761	50.45	39.10
0.762	51.74	39.22
0.763	53.07	39.35
0.764	54.44	39.47
0.765	55.84	39.58
0.766	57.26	39.69
0.767	58.71	39.79
0.768	60.17	39.89
0.769	61.63	39.99
0.770	63.10	40.08
0.771	64.55	40.17
0.772	65.98	40.25
0.773	67.38	40.33
0.774	68.74	40.40
0.775	70.05	40.47
0.776	71.30	40.52
0.777	72.48	40.57
0.778	73.60	40.60
0.779	74.65	40.62
0.780	75.62	40.62
0.781	76.51	40.61
0.782	77.33	40.59
0.783	78.06	40.55
0.784	78.72	40.50
0.785	79.30	40.44
0.786	79.79	40.36
0.787	80.21	40.28
0.788	80.55	40.18
0.789	80.81	40.07
0.790	80.99	39.94
0.791	81.10	39.81
0.792	81.14	39.67
0.793	81.11	39.52
0.794	81.03	39.36
0.795	80.89	39.19
0.796	80.69	39.03
0.797	80.45	38.85
0.798	80.15	38.68
0.799	79.81	38.50
0.800	79.42	38.32
0.801	78.97	38.14
0.802	78.48	37.96
0.803	77.93	37.78
0.804	77.33	37.60
0.805	76.69	37.42
0.806	75.99	37.25
0.807	75.25	37.09
0.808	74.47	36.92
0.809	73.64	36.77
0.810	72.77	36.62
0.811	71.86	36.48
0.812	70.92	36.34
0.813	69.94	36.21
0.814	68.93	36.08
0.815	67.91	35.96
0.816	66.86	35.84
0.817	65.79	35.73
0.818	64.72	35.61
0.819	63.64	35.50
0.820	62.56	35.39
0.821	61.50	35.27
0.822	60.44	35.15
0.823	59.41	35.03
0.824	58.39	34.90
0.825	57.40	34.76
0.826	56.44	34.61
0.827	55.50	34.45
0.828	54.59	34.28
0.829	53.71	34.10
0.830	52.85	33.90
0.831	52.01	33.70
0.832	51.19	33.49
0.833	50.39	33.26
0.834	49.60	33.03
0.835	48.81	32.79
0.836	48.04	32.54
0.837	47.27	32.28
0.838	46.50	32.01
0.839	45.73	31.74
0.840	44.96	31.47
0.841	44.18	31.19
0.842	43.39	30.91
0.843	42.60	30.64
0.844	41.80	30.36
0.845	40.99	30.09
0.846	40.18	29.83
0.847	39.37	29.57
0.848	38.56	29.32
0.849	37.76	29.08
0.850	36.98	28.85
0.851	36.20	28.63
0.852	35.44	28.42
0.853	34.69	28.23
0.854	33.97	28.04
0.855	33.26	27.87
0.856	32.57	27.71
0.857	31.91	27.56
0.858	31.27	27.43
0.859	30.65	27.31
0.860	30.06	27.20
0.861	29.48	27.11
0.862	28.93	27.03
0.863	28.40	26.97
0.864	27.91	26.92
0.865	27.44	26.88
0.866	27.00	26.86
0.867	26.60	26.85
0.868	26.23	26.85
0.869	25.90	26.86
0.870	25.60	26.88
0.871	25.35	26.92
0.872	25.14	26.96
0.873	24.97	27.01
0.874	24.86	27.08
0.875	24.78	27.15
0.876	24.76	27.23
0.877	24.79	27.32
0.878	24.87	27.42
0.879	24.99	27.51
0.880	25.17	27.61
0.881	25.39	27.71
0.882	25.65	27.82
0.883	25.96	27.92
0.884	26.31	28.02
0.885	26.70	28.12
0.886	27.13	28.22
0.887	27.59	28.31
0.888	28.08	28.41
0.889	28.60	28.51
0.890	29.15	28.60
0.891	29.73	28.69
0.892	30.32	28.79
0.893	30.92	28.88
0.894	31.54	28.98
0.895	32.15	29.08
0.896	32.76	29.19
0.897	33.35	29.30
0.898	33.94	29.42
0.899	34.50	29.54
0.900	35.03	29.67
0.901	35.55	29.80
0.902	36.03	29.95
0.903	36.47	30.11
0.904	36.88	30.28
0.905	37.24	30.47
0.906	37.56	30.67
0.907	37.84	30.88
0.908	38.09	31.11
0.909	38.30	31.35
0.910	38.48	31.60
0.911	38.64	31.86
0.912	38.78	32.14
0.913	38.90	32.42
0.914	39.00	32.71
0.915	39.09	33.01
0.916	39.17	33.32
0.917	39.23	33.63
0.918	39.29	33.95
0.919	39.33	34.27
0.920	39.36	34.59
0.921	39.39	34.92
0.922	39.40	35.25
0.923	39.40	35.58
0.924	39.39	35.92
0.925	39.37	36.25
0.926	39.35	36.59
0.927	39.33	36.93
0.928	39.31	37.27
0.929	39.30	37.60
0.930	39.31	37.93
0.931	39.33	38.26
0.932	39.36	38.58
0.933	39.42	38.89
0.934	39.49	39.20
0.935	39.58	39.50
0.936	39.68	39.79
0.937	39.80	40.06
0.938	39.92	40.33
0.939	40.06	40.58
0.940	40.20	40.81
0.941	40.34	41.03
0.942	40.48	41.24
0.943	40.61	41.43
0.944	40.75	41.60
0.945	40.87	41.76
0.946	41.00	41.91
0.947	41.12	42.05
0.948	41.23	42.17
0.949	41.34	42.29
0.950	41.44	42.39
0.951	41.54	42.49
0.952	41.63	42.57
0.953	41.71	42.64
0.954	41.78	42.71
0.955	41.83	42.77
0.956	41.88	42.83
0.957	41.91	42.89
0.958	41.93	42.95
0.959	41.92	43.02
0.960	41.89	43.09
0.961	41.85	43.16
0.962	41.78	43.25
0.963	41.69	43.35
0.964	41.59	43.46
0.965	41.47	43.58
0.966	41.34	43.71
0.967	41.19	43.85
0.968	41.04	44.01
0.969	40.87	44.18
0.970	40.69	44.36
0.971	40.50	44.55
0.972	40.31	44.75
0.973	40.11	44.96
0.974	39.90	45.18
0.975	39.68	45.41
0.976	39.46	45.63
0.977	39.23	45.87
0.978	38.99	46.10
0.979	38.76	46.33
0.980	38.53	46.57
0.981	38.30	46.80
0.982	38.08	47.04
0.983	37.87	47.27
0.984	37.67	47.51
0.985	37.48	47.74
0.986	37.30	47.97
0.987	37.13	48.21
0.988	36.98	48.44
0.989	36.84	48.68
0.990	36.70	48.92
0.991	36.58	49.17
0.992	36.47	49.42
0.993	36.37	49.67
0.994	36.28	49.93
0.995	36.18	50.19
0.996	36.10	50.46
0.997	36.01	50.73
0.998	35.92	51.01
0.999	35.82	51.29
1.000	35.72	51.57
1.001	35.62	51.86
1.002	35.51	52.15
1.003	35.39	52.45
1.004	35.27	52.75
1.005	35.14	53.05
1.006	35.01	53.35
1.007	34.88	53.66
1.008	34.73	53.97
1.009	34.57	54.28
1.010	34.40	54.59
1.011	34.21	54.91
1.012	34.01	55.23
1.013	33.80	55.55
1.014	33.57	55.88
1.015	33.31	56.21
1.016	33.04	56.54
1.017	32.75	56.87
1.018	32.43	57.21
1.019	32.09	57.55
1.020	31.72	57.88
1.021	31.33	58.22
1.022	30.91	58.56
1.023	30.46	58.89
1.024	29.99	59.23
1.025	29.50	59.56
1.026	29.00	59.89
1.027	28.48	60.21
1.028	27.94	60.53
1.029	27.40	60.85
1.030	26.85	61.17
1.031	26.30	61.48
1.032	25.74	61.78
1.033	25.20	62.09
1.034	24.65	62.39
1.035	24.12	62.69
1.036	23.60	62.99
1.037	23.10	63.29
1.038	22.62	63.58
1.039	22.16	63.89
1.040	21.73	64.19
1.041	21.33	64.50
1.042	20.96	64.81
1.043	20.63	65.13
1.044	20.33	65.45
1.045	20.08	65.77
1.046	19.88	66.09
1.047	19.73	66.41
1.048	19.63	66.73
1.049	19.59	67.04
1.050	19.60	67.35
1.051	19.68	67.65
