/* DATA DESCRIPTION:
Citation: Huang, J.-J., Löwemark, L., Chang, Q., Lin, T.-Y., Chen, H.-F., Song, S.-R., and Wei, K.-Y., 2016, Choosing optimal exposure times for XRF core-scanning: Suggestions based on the analysis of geological reference materials: Geochemistry, Geophysics, Geosystems, v. 17, no. 4, p. 1558-1566.
Sample: Geological reference standards (JLK-1, JSD-1, JSD-2, JSD-3, JMS-1, JMS-2)
Machine: Itrax-XRF core scanner, CS-16 National Taiwan University
Comment: Six geological reference materials from the Geological Survey of Japan (JLK-1, JMS-1, JMS-2, JSD-1, JSD-2, and JSD-3) were scanned by the Itrax-XRF core scanner using the Mo- and the Cr-tube with different exposure times. 
Original dataset can be downloaded at https://doi.pangaea.de/10.1594/PANGAEA.858766
*/
Sample_tube_machine.setting	Al	Si	S	K	Ca	Ti	Cr	Mn	Fe	Ni	Cu	Zn	Rb	Sr	Zr	Ba	Pb
JMS-1_Cr-tube_15s	761.32	10499.08	2871.94	34165.24	43661.48	31847.88	na	1287.66	72048.68	274.26	209.98	934.5	527.34	720.5	376.76	633.26	339.46
JMS-1_Cr-tube_30s	1572.7	20896.78	5781.88	68130.8	87306.88	63677.04	na	2061.2	144070.78	542.28	409.52	1897.16	1023.5	1464.4	770.98	1058.04	678.18
JMS-1_Cr-tube_100s	5317.66	69391.66	19324.24	227488.28	291786.7	211433.76	na	15398.16	483863.76	2034.56	1660.94	6407.72	3487.44	4860.32	2633.2	4091.58	2264.92
JMS-2_Mo-tube_1s	4.76	48.84	1.34	280.48	780.28	461.02	20.44	2740.06	15937.54	108.38	150.22	59.8	103.8	319.12	89.22	34.66	67.48
JMS-2_Mo-tube_5s	24.14	258.26	8.88	1397.62	3841.76	2243.82	99.02	13560.74	79035.38	535.84	676.22	288.88	347.92	1574.94	452.1	197.6	303.36
JMS-2_Mo-tube_15s	76.26	789.06	10.78	4196.22	11555.94	6696.76	295.36	40691.5	237191.42	1589.2	2121.82	891.58	1090.86	4737.98	1318.78	655.88	953.42
JMS-2_Mo-tube_30s	153.04	1574.74	22.9	8493.06	23166.8	13493.78	639.02	81514.24	475409.94	3160.62	4314.9	1782.6	2164.6	9456.18	2649.58	1328.58	1899.26
JMS-2_Mo-tube_100s	538.8	5328.96	26.42	28511.58	77468.34	45219.14	1946.82	271436.88	1587712.72	10909.14	13943.52	5788.18	7113.86	31372.62	8517.82	4240.96	6237.74
JMS-2_Cr-tube_1s	36.4	451.16	48.92	2441.32	6502.04	3694.66	na	1280.5	6285.64	43.18	64.64	33.28	18.7	87.4	34.9	129.74	19.9
JMS-2_Cr-tube_5s	180.58	2287.6	263.78	12231.06	32545.52	18465.78	na	6724.34	31394.2	219.08	327.78	178.06	91.84	436.7	188.22	722.38	94.2
JMS-2_Cr-tube_15s	546.36	6877.5	780.98	36642.54	97183.08	55752.46	na	18419.24	94047.52	632.88	926.24	512.92	262.22	1311.84	524.86	1946.92	274.62
JMS-2_Cr-tube_30s	1089.74	13634.1	1559.02	72969.42	193146.44	111505.26	na	34555.82	187814.6	1249.72	1788.52	1011.84	530.38	2642.46	1048.2	3451.52	531.16
JMS-2_Cr-tube_100s	3606.6	45403.4	5186.4	241466.36	639555.66	371320.52	na	108363.08	625945.86	4001.38	5748.28	3295.22	1748	8885.06	3447.04	10718.24	1757.14
